property,network_1,network_2,eager_time,noneager_time,obtuse_polytope_time,virtual_best,,,,,,,
4,4,3,0.010529833,0.127291437,0.055780439,0.010529833,,,,,,,
4,4,4,0.003118852,0.033494931,0.004383816,0.003118852,,,,,,,
4,4,5,0.001229784,0.011703961,0.001972539,0.001229784,,,,,,,
4,4,6,0.001696751,0.014489427,0.002329385,0.001696751,,,,,,,
4,4,7,0.00276263,0.024152283,0.023071552,0.00276263,,,,,,,
4,4,8,0.011365065,0.09789562,0.010357777,0.010357777,,,,,,,
4,4,9,0.017729349,0.015711656,0.002371277,0.002371277,,,,,,,
4,5,1,0.002501183,0.028753252,0.055095349,0.002501183,,,,,,,
4,5,2,0.001859262,0.013479253,0.006180564,0.001859262,,,,,,,
4,5,3,0.002748183,0.030650681,0.003376441,0.002748183,,,,,,,
4,5,4,0.002095504,0.023852863,0.004116788,0.002095504,,,,,,,
4,5,5,0.003479554,0.027192173,0.004202188,0.003479554,,,,,,,
4,5,6,0.002013178,0.020392131,0.002975856,0.002013178,,,,,,,
4,5,7,0.00132977,0.014179944,0.001400147,0.00132977,,,,,,,
4,5,8,0.002912942,0.035729415,0.004444836,0.002912942,,,,,,,
4,5,9,0.001508936,0.013751786,0.001969431,0.001508936,,,,,,,
