property,network_1,network_2,marabou result,marabou_time,nnenum_time,eran_time,priority_time_stopfreq1,priority_time_stopfreq5,priority_time_stopfreq10
2,2,6,sat,52.925448,0.038183462,324.7279916,0.00993121,0.487106583,0.468006142
2,2,7,sat,768.024832,0.034452494,664.9449358,0.023606768,0.409660068,0.383432922
2,2,8,sat,101.187184,0.03748107,101.9096694,0.010126906,0.445822403,0.456886217
2,2,9,sat,128.440808,34.3219605,113.2468681,15.38670247,15.93209594,16.52860975
2,3,1,sat,19.707962,0.039118417,58.0903995,0.010051474,0.873293342,1.185428
2,3,2,sat,28.514544,9.882342894,1138.357862,0.389861965,0.486973544,3.664942831
2,3,3,TIMEOUT,99999999,136.9161986,99999999,1106.849373,1043.830452,1082.243703
2,3,4,sat,1326.451968,0.025507919,1124.962165,0.009815599,0.714128647,0.937793084
2,3,5,sat,35.342096,0.032060426,54.2966783,0.010307239,6.159468494,6.87952146
2,3,6,sat,155.430976,0.295913879,166.4574747,0.795201721,0.683485091,0.750421228
2,3,7,sat,669.06016,3.394883689,164.2618701,0.608320957,0.646729205,0.717420399
2,3,8,sat,145.5892,0.209310055,112.130635,0.55649816,0.507649341,0.594173002
2,3,9,sat,53.484448,0.040393844,70.74551797,0.01438591,0.647418795,0.66815297
2,4,1,sat,47.66664,0.091761328,116.0356874,0.448603483,0.434500349,0.45401044
2,4,2,TIMEOUT,99999999,134.7492342,99999999,1346.074499,1257.35476,1290.001982
2,4,3,sat,19.55169,0.040840037,25.32376075,0.011245114,0.544633035,0.620516342
2,4,4,sat,11.5493,0.174558185,31.19258142,0.510009837,0.486293239,0.444647194
2,4,5,sat,65.699692,0.032341428,161.6662624,0.01430824,0.504219509,0.431840542
2,4,6,sat,443.594528,0.040851176,284.34707,0.014279654,0.388962335,0.380359239
2,4,7,sat,42.101016,0.041110668,98.04122758,0.013587782,0.43154763,0.496183741
